Benchmark,Benchmark Version,Hardware Vendor	,System,Nodes	,Form Factor	,Result,ssj_ops @ 100% of target load	,ssj_ops @ 90% of target load	,ssj_ops @ 80% of target load	,ssj_ops @ 70% of target load	,ssj_ops @ 60% of target load	,ssj_ops @ 50% of target load	,ssj_ops @ 40% of target load	,ssj_ops @ 30% of target load	,ssj_ops @ 20% of target load	,ssj_ops @ 10% of target load	,Average watts @ 100% of target load	,Average watts @ 90% of target load	,Average watts @ 80% of target load	,Average watts @ 70% of target load	,Average watts @ 60% of target load	,Average watts @ 50% of target load	,Average watts @ 40% of target load	,Average watts @ 30% of target load	,Average watts @ 20% of target load	,Average watts@10% of target load	,Average watts @ active idle	,Performance/power @ 100% of target load	,Performance/power @ 90% of target load	,Performance/power @ 80% of target load	,Performance/power @ 70% of target load	,Performance/power @ 60% of target load	,Performance/power @ 50% of target load	,Performance/power @ 40% of target load	,Performance/power @ 30% of target load	,Performance/power @ 20% of target load	,Performance/power @ 10% of target load	,# Cores,# Chips ,# Cores Per Chip ,# Threads Per Core,Processor ,Processor MHz,Processor Characteristics,CPU(s) Orderable,1st Level Cache,2nd Level Cache,3rd Level Cache,Other Cache,Memory (GB),Operating System,Operating System Version,DIMMS,Memory Description	,Power Provisioning ,Disk Drive ,Disk Controller ,Power Management ,Power Supply Details ,Power Supplies Installed ,Power Supply Rating (watts),HW Avail,Hardware release year,SW Avail,Tested By,Published,Disclosures
power_ssj2008,1.1,ASUSTeK Computer Inc.,"ASUS RS100-E5 (Intel Xeon X3360 Processor, 2.83 GHz)",1,--,905,165064,149393,133797,115123,99215,82814,67254,50013,33046,16358,118,115,111,106,101,95.3,88.6,79.1,72.2,64,56.7,1398,1299,1202,1084,982,869,759,632,458,256,4,1,4,1,Intel Xeon X3360 Processor,2833,"2.83 GHz, 2 x 6 MB L2 Cache, 1333 MHz System Bus",1 chip,32 KB I + 32 KB D on chip per core,"12 MB I+D on chip per chip, 6 MB shared / 2 cores",None,None,4,"Windows Server 2003 R2, Enterprise x64 Edition",Service Pack 2 Build 3790,2 x 2048 MB,DDR2-667 CL5 DIMM; Slots A2 and B2 are populated,Line-powered,"1 x Seagate (3.5"", SATA, 160 GB, 7.2K RPM)",Integrated ICH-7R SATA controller,Enabled (Server Balanced Power and Performance),FSP FSP220-60LE,1,220,Apr-2008,2008,Mar-2008,ASUSTeK Company Inc.,Jan-2009,"<A HREF=""/power_ssj2008/results/res2009q1/power_ssj2008-20081215-00106.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2009q1/power_ssj2008-20081215-00106.txt"">Text</A>"
power_ssj2008,1.1,ASUSTeK Computer Inc.,"ASUS RS160-E5 (Intel Xeon L5420 Processor, 2.50 GHz)",1,--,1009,270621,243781,217287,190374,164101,136642,109715,81424,54513,27828,170,166,160,154,148,140,131,121,110,99,86,1592,1473,1356,1234,1112,979,839,675,495,281,8,2,4,1,Intel Xeon L5420,2500,"2.50 GHz, 2 x 6MB L2 Cache, 1333 MHz System Bus","1,2 chips",32 KB I + 32 KB D on chip per core,"12 MB I+D on chip per chip, 6 MB shared / 2 cores",None,None,8,"Windows Server 2003 R2, Enterprise x64 Edition",Service Pack 2 Build 3790,2 x 4096 MB,DDR2-667 CL5 DIMM; Slots A1 and B1 are populated,Line-powered,"1 x Hitachi (3.5"", SATA, 80 GB, 7.2K RPM)",Integrated ICH-9R SATA controller,Enabled (Server Balanced Power and Performance),FSP FSP460-701UG,1,460,Oct-2008,2008,Sep-2008,ASUSTeK Company Inc.,Nov-2008,"<A HREF=""/power_ssj2008/results/res2008q4/power_ssj2008-20081103-00094.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2008q4/power_ssj2008-20081103-00094.txt"">Text</A>"
power_ssj2008,1.1,ASUSTeK Computer Inc.,"ASUS RS160-E5 (Intel Xeon L5430 Processor, 2.66 GHz)",1,--,1020,278927,252327,226095,196907,168211,140335,112784,84723,56512,28193,173,168,163,157,150,142,133,123,113,102,89.4,1615,1498,1384,1252,1120,987,847,687,501,278,8,2,4,1,Intel Xeon L5430,2666,"2.66 GHz, 2 x 6MB L2 Cache, 1333 MHz System Bus","1,2 chips",32 KB I + 32 KB D on chip per core,"12 MB I+D on chip per chip, 6 MB shared / 2 cores",None,None,8,"Windows Server 2003 R2, Enterprise x64 Edition",Service Pack 2 Build 3790,2 x 4096 MB,DDR2-667 CL5 DIMM; Slots A1 and B1 are populated,Line-powered,"1 x Hitachi (3.5"", SATA, 80 GB, 7.2K RPM)",Integrated ICH-9R SATA controller,Enabled (Server Balanced Power and Performance),FSP FSP460-701UG,1,460,Oct-2008,2008,Sep-2008,ASUSTeK Company Inc.,Nov-2008,"<A HREF=""/power_ssj2008/results/res2008q4/power_ssj2008-20081103-00093.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2008q4/power_ssj2008-20081103-00093.txt"">Text</A>"
power_ssj2008,1.2,ASUSTeK Computer Inc.,ESC4000-E11,1,2U,20408,1.74E+07,1.57E+07,1.43E+07,1.24E+07,1.05E+07,8.70E+06,6.96E+06,5.23E+06,3.49E+06,1.74E+06,783,658,591,506,435,388,349,316,283,247,166,22189,23900,24165,24429,24153,22416,19970,16581,12312,7042,128,2,64,2,Intel Xeon Platinum 8592+,1900,"64-Core, 1.9GHz, Intel Turbo Boost Technology up to 3.9GHz, 320MB L3 Cache","1,2 chips",32 KB I + 48 KB D on chip per core,2 MB I+D on chip per core,320 MB I+D on chip per chip,None,256,Microsoft Windows Server 2022 Datacenter,Version 21H2 (OS Build 20348.1366),16 x 16 GB,16 x 16GB 1Rx8 PC5-4800B-R ECC RDIMM; all DIMM slots populated,Line-powered,1 x 512GB Samsung P4X4 M.2 PCIE SSD P/N: 03B03-00379600,Integrated PCIe controller,Enabled (See SUT Notes),GOSPOWER G1302-2600WRA REV:0.2 P/N: 0A100-00450900,1,2600,Mar-2024,2024,Oct-2023,ASUSTeK Computer Inc.,Jun-2024,"<A HREF=""/power_ssj2008/results/res2024q2/power_ssj2008-20240422-01401.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2024q2/power_ssj2008-20240422-01401.txt"">Text</A>"
power_ssj2008,1.2,ASUSTeK Computer Inc.,ESC4000-E11,1,2U,19676,1.71E+07,1.54E+07,1.37E+07,1.20E+07,1.02E+07,8.55E+06,6.80E+06,5.10E+06,3.42E+06,1.71E+06,789,677,575,506,436,392,352,316,284,247,204,21622,22766,23798,23729,23500,21814,19350,16145,12054,6922,128,2,64,2,Intel Xeon Platinum 8592+,1900,"64-Core, 1.9GHz, Intel Turbo Boost Technology up to 3.9GHz, 320MB L3 Cache","1,2 chips",32 KB I + 48 KB D on chip per core,2 MB I+D on chip per core,320 MB I+D on chip per chip,None,256,SUSE Linux Enterprise Server 15 SP4,5.14.21-150400.22-default,16 x 16 GB,16 x 16GB 1Rx8 PC5-4800B-R ECC RDIMM; all DIMM slots populated,Line-powered,1 x 512GB Samsung P4X4 M.2 PCIE SSD P/N: 03B03-00379600,Integrated PCIe controller,Enabled,GOSPOWER G1302-2600WRA REV:0.2 P/N: 0A100-00450900,1,2600,Mar-2024,2024,Oct-2023,ASUSTeK Computer Inc.,Jun-2024,"<A HREF=""/power_ssj2008/results/res2024q2/power_ssj2008-20240506-01406.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2024q2/power_ssj2008-20240506-01406.txt"">Text</A>"
power_ssj2008,1.2,ASUSTeK Computer Inc.,ESC4000-E11,1,2U,16603,1.49E+07,1.33E+07,1.19E+07,1.04E+07,8.91E+06,7.42E+06,5.95E+06,4.45E+06,2.97E+06,1.49E+06,781,654,573,518,466,420,378,339,306,269,216,19033,20410,20722,20103,19115,17648,15741,13140,9719,5532,120,2,60,2,Intel Xeon Platinum 8490H,1900,"60-Core, 1.9GHz, Intel Turbo Boost Technology up to 3.5GHz, 112.5MB L3 Cache","1,2 chips",32 KB I + 48 KB D on chip per core,2 MB I+D on chip per core,115200 KB I+D on chip per chip,None,256,SUSE Linux Enterprise Server 15 SP4,5.14.21-150400.22-default,16 x 16 GB,16 x 16GB 1Rx8 PC5-4800B-R ECC RDIMM; all DIMM slots populated,Line-powered,1 x 512GB Samsung P4X4 M.2 PCIE SSD P/N: 03B03-00379600,Integrated PCIe controller,Enabled (See SUT Notes),GOSPOWER G1302-2600WRA REV:0.2 P/N: 0A100-00450900,1,2600,Jul-2023,2023,Jan-2023,ASUSTeK Computer Inc.,Nov-2023,"<A HREF=""/power_ssj2008/results/res2023q4/power_ssj2008-20231024-01328.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2023q4/power_ssj2008-20231024-01328.txt"">Text</A>"
power_ssj2008,1.2,ASUSTeK Computer Inc.,ESC4000-E11,1,2U,17190,1.51E+07,1.36E+07,1.21E+07,1.06E+07,9.07E+06,7.55E+06,6.04E+06,4.55E+06,3.02E+06,1.51E+06,775,654,570,509,454,411,372,339,306,268,181,19526,20799,21236,20819,19975,18370,16208,13435,9887,5628,120,2,60,2,Intel Xeon Platinum 8490H,1900,"60-Core, 1.9GHz, Intel Turbo Boost Technology up to 3.5GHz, 112.5MB L3 Cache","1,2 chips",32 KB I + 48 KB D on chip per core,2 MB I+D on chip per core,115200 KB I+D on chip per chip,None,256,Microsoft Windows Server 2022 Datacenter,Version 21H2 (OS Build 20348.1366),16 x 16 GB,16 x 16GB 1Rx8 PC5-4800B-R ECC RDIMM; all DIMM slots populated,Line-powered,1 x 512GB Samsung P4X4 M.2 PCIE SSD P/N: 03B03-00379600,Integrated PCIe controller,Enabled (See SUT Notes),GOSPOWER G1302-2600WRA REV:0.2 P/N: 0A100-00450900,1,2600,Jul-2023,2023,Aug-2023,ASUSTeK Computer Inc.,Nov-2023,"<A HREF=""/power_ssj2008/results/res2023q4/power_ssj2008-20231024-01329.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2023q4/power_ssj2008-20231024-01329.txt"">Text</A>"
power_ssj2008,1.2,ASUSTeK Computer Inc.,RS500A-E10-PS4,1,1U,20908,6.06E+06,5.47E+06,4.87E+06,4.27E+06,3.65E+06,3.04E+06,2.44E+06,1.83E+06,1.22E+06,608773,214,201,189,175,161,149,131,120,109,100,51.4,28358,27149,25789,24360,22626,20457,18621,15320,11206,6061,64,1,64,2,AMD EPYC 7742 2.25Ghz,2250,"64-Core, 2.25GHz, 256MB L3 Cache",1 chip,32 KB I + 32 KB D on chip per core,512 KB I+D on chip per core,"256 MB I+D on chip per chip, 16 MB shared / 4 cores",None,128,Microsoft Windows Server 2019 Datacenter,Version 1809 (OS Build 17763.720),8 x 16 GB,"8 x 16GB 2Rx8 PC4-2933Y ECC RDIMM; slots DIMM_A2, DIMMM_B2, DIMMM_C2, DIMMM_D2, DIMMM_E2, DIMMM_F2, DIMMM_G2, DIMMM_H2",Line-powered,1 x 960GB Intel DC S4510 SATA 2.5 SSD P/N: 03B01-00160800,Integrated SATA controller,Enabled(See SUT Notes),Delta DPS-650XB E Rev.00F P/N: 0A100-00370000,1,650,Oct-2019,2019,Aug-2019,ASUSTeK Computer Inc.,Jan-2020,"<A HREF=""/power_ssj2008/results/res2020q1/power_ssj2008-20191125-01011.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2020q1/power_ssj2008-20191125-01011.txt"">Text</A>"
power_ssj2008,1.2,ASUSTeK Computer Inc.,RS500A-E10-PS4,1,1U,21168,5.88E+06,5.31E+06,4.72E+06,4.12E+06,3.53E+06,2.95E+06,2.36E+06,1.77E+06,1.18E+06,589426,206,191,177,162,149,138,127,117,107,100,56.4,28488,27771,26681,25448,23712,21308,18584,15147,11015,5895,64,1,64,2,AMD EPYC 7742 2.25Ghz,2250,"64-Core, 2.25GHz, 256MB L3 Cache",1 chip,32 KB I + 32 KB D on chip per core,512 KB I+D on chip per core,"256 MB I+D on chip per chip, 16 MB shared / 4 cores",None,128,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,8 x 16 GB,"8 x 16GB 2Rx8 PC4-2933Y ECC RDIMM; slots DIMM_A2, DIMMM_B2, DIMMM_C2, DIMMM_D2, DIMMM_E2, DIMMM_F2, DIMMM_G2, DIMMM_H2",Line-powered,1 x 960GB Intel DC S4510 SATA 2.5 SSD P/N: 03B01-00160800,Integrated SATA controller,Enabled(See SUT Notes),Delta DPS-650XB E Rev.00F P/N: 0A100-00370000,1,650,Oct-2019,2019,Dec-2018,ASUSTeK Computer Inc.,Jan-2020,"<A HREF=""/power_ssj2008/results/res2020q1/power_ssj2008-20191125-01012.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2020q1/power_ssj2008-20191125-01012.txt"">Text</A>"
power_ssj2008,1.2,ASUSTeK Computer Inc.,RS620SA-E10-RS12,6,1U,24238,3.69E+07,3.33E+07,2.96E+07,2.59E+07,2.22E+07,1.85E+07,1.48E+07,1.11E+07,7.39E+06,3.70E+06,1140,1071,1001,929,853,785,696,627,565,492,228,32361,31044,29562,27859,25999,23578,21245,17707,13095,7513,384,6,64,2,AMD EPYC 7742 2.25Ghz,2250,"64-Core, 2.25GHz, 256MB L3 Cache",1 chip,32 KB I + 32 KB D on chip per core,512 KB I+D on chip per core,"256 MB I+D on chip per chip, 16 MB shared / 4 cores",None,768,Microsoft Windows Server 2019 Datacenter,Version 1809 (OS Build 17763.1397),8 x 16 GB,8 x 16GB 2Rx8 PC4-3200AA-R ECC RDIMM; all slots populated,Line-powered,1 x 240GB Seagate Nytro 510DCT M.2 PCIE SSD P/N: 03B03-00130200,Integrated PCIE controller,Enabled(See SUT Notes),Shared,0,0,Sep-2020,2020,Aug-2020,ASUSTeK Computer Inc.,Oct-2020,"<A HREF=""/power_ssj2008/results/res2020q4/power_ssj2008-20200918-01046.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2020q4/power_ssj2008-20200918-01046.txt"">Text</A>"
power_ssj2008,1.2,ASUSTeK Computer Inc.,RS620SA-E10-RS12,6,1U,24507,3.66E+07,3.31E+07,2.94E+07,2.57E+07,2.21E+07,1.84E+07,1.47E+07,1.10E+07,7.35E+06,3.68E+06,1141,1062,981,903,816,739,680,622,560,492,250,32105,31152,29970,28505,27024,24881,21648,17736,13118,7474,384,6,64,2,AMD EPYC 7742 2.25Ghz,2250,"64-Core, 2.25GHz, 256MB L3 Cache",1 chip,32 KB I + 32 KB D on chip per core,512 KB I+D on chip per core,"256 MB I+D on chip per chip, 16 MB shared / 4 cores",None,768,Suse Linux Enterprise Server 15 SP1,4.12.14-195-default,8 x 16 GB,8 x 16GB 2Rx8 PC4-3200AA-R ECC RDIMM; all slots populated,Line-powered,1 x 240GB Seagate Nytro 510DCT M.2 PCIE SSD P/N: 03B03-00130200,Integrated PCIE controller,Enabled(See SUT Notes),Shared,0,0,Sep-2020,2020,Jul-2020,ASUSTeK Computer Inc.,Oct-2020,"<A HREF=""/power_ssj2008/results/res2020q4/power_ssj2008-20200918-01047.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2020q4/power_ssj2008-20200918-01047.txt"">Text</A>"
power_ssj2008,1.2,ASUSTeK Computer Inc.,RS700A-E11-RS4U,1,1U,25252,1.22E+07,1.10E+07,9.82E+06,8.58E+06,7.35E+06,6.12E+06,4.90E+06,3.67E+06,2.45E+06,1.23E+06,408,350,303,269,250,232,215,199,182,164,94.6,29931,31520,32399,31862,29359,26371,22813,18486,13436,7466,128,2,64,2,AMD EPYC 7763,2450,"64-Core, 2.45GHz, 256MB L3 Cache","1,2 chips",32 KB I + 32 KB D on chip per core,512 KB I+D on chip per core,256 MB I+D on chip per chip,None,256,SUSE Linux Enterprise Server 15 SP2,5.3.18-22-default,16 x 16 GB,"16 x 16GB 2Rx8 PC4-3200AA-R ECC RDIMM; slots DIMM_A2, DIMM_B2, DIMM_C2, DIMM_D2, DIMM_E2, DIMM_F2, DIMM_G2, DIMM_H2, DIMM_I2, DIMM_J2, DIMM_K2, DIMM_L2, DIMM_M2, DIMM_N2, DIMM_O2, DIMM_P2 populated",Line-powered,1 x 256GB Samsung P4X4 M.2 PCIE SSD P/N: 03B03-00420800,Integrated PCIE controller,Enabled (See SUT Notes),CHICONY R18-1K6P1WA REV:01 P/N: 0A100-00250800,1,1600,May-2022,2022,May-2022,ASUSTeK Computer Inc.,Jul-2022,"<A HREF=""/power_ssj2008/results/res2022q3/power_ssj2008-20220617-01178.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2022q3/power_ssj2008-20220617-01178.txt"">Text</A>"
power_ssj2008,1.2,ASUSTeK Computer Inc.,RS700A-E11-RS4U,1,1U,25302,1.23E+07,1.11E+07,9.89E+06,8.64E+06,7.42E+06,6.18E+06,4.93E+06,3.70E+06,2.47E+06,1.24E+06,406,349,299,268,249,232,214,198,182,164,122,30339,31911,33028,32261,29764,26671,23002,18667,13575,7540,128,2,64,2,AMD EPYC 7763,2450,"64-Core, 2.45GHz, 256MB L3 Cache","1,2 chips",32 KB I + 32 KB D on chip per core,512 KB I+D on chip per core,256 MB I+D on chip per chip,None,256,Microsoft Windows Server 2019 Datacenter,Version 1809 (OS Build 17763.1397),16 x 16 GB,"16 x 16GB 2Rx8 PC4-3200AA-R ECC RDIMM; slots DIMM_A2, DIMM_B2, DIMM_C2, DIMM_D2, DIMM_E2, DIMM_F2, DIMM_G2, DIMM_H2, DIMM_I2, DIMM_J2, DIMM_K2, DIMM_L2, DIMM_M2, DIMM_N2, DIMM_O2, DIMM_P2 populated",Line-powered,1 x 256GB Samsung P4X4 M.2 PCIE SSD P/N: 03B03-00420800,Integrated PCIE controller,Enabled (See SUT Notes),CHICONY R18-1K6P1WA REV:01 P/N: 0A100-00250800,1,1600,May-2022,2022,May-2022,ASUSTeK Computer Inc.,Jul-2022,"<A HREF=""/power_ssj2008/results/res2022q3/power_ssj2008-20220617-01179.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2022q3/power_ssj2008-20220617-01179.txt"">Text</A>"
power_ssj2008,1.2,ASUSTeK Computer Inc.,RS700A-E9-RS4V2,1,1U,20214,1.17E+07,1.06E+07,9.39E+06,8.23E+06,7.06E+06,5.88E+06,4.70E+06,3.53E+06,2.35E+06,1.18E+06,430,400,372,344,311,294,270,244,227,197,106,27225,26427,25215,23940,22690,20014,17378,14480,10357,5973,128,2,64,2,AMD EPYC 7742 2.25Ghz,2250,"64-Core, 2.25GHz, 256MB L3 Cache","1,2 chips",32 KB I + 32 KB D on chip per core,512 KB I+D on chip per core,"256 MB I+D on chip per chip, 16 MB shared / 4 cores",None,256,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,16 x 16 GB,"16 x 16GB 2Rx8 PC4-2933Y ECC RDIMM; slots DIMM_A2, DIMMM_B2, DIMMM_C2, DIMMM_D2, DIMMM_E2, DIMMM_F2, DIMMM_G2, DIMMM_H2, slots DIMM_I2, DIMMM_J2, DIMMM_K2, DIMMM_L2, DIMMM_M2, DIMMM_N2, DIMMM_O2, DIMMM_P2",Line-powered,1 x 960GB Intel DC S4510 SATA 2.5 SSD P/N: 03B01-00160800,Integrated SATA controller,Enabled(See SUT Notes),ACBEL R1CA2801A REV:C P/N: 0A100-00081500,1,800,Feb-2020,2020,Dec-2018,ASUSTeK Computer Inc.,Apr-2020,"<A HREF=""/power_ssj2008/results/res2020q2/power_ssj2008-20200313-01019.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2020q2/power_ssj2008-20200313-01019.txt"">Text</A>"
power_ssj2008,1.2,ASUSTeK Computer Inc.,RS700A-E9-RS4V2,1,1U,20350,1.19E+07,1.08E+07,9.59E+06,8.39E+06,7.20E+06,6.00E+06,4.80E+06,3.60E+06,2.40E+06,1.20E+06,425,410,377,362,325,307,270,250,222,199,92.9,28081,26352,25432,23190,22169,19520,17788,14416,10829,6025,128,2,64,2,AMD EPYC 7742 2.25Ghz,2250,"64-Core, 2.25GHz, 256MB L3 Cache","1,2 chips",32 KB I + 32 KB D on chip per core,512 KB I+D on chip per core,"256 MB I+D on chip per chip, 16 MB shared / 4 cores",None,256,Microsoft Windows Server 2019 Datacenter,Version 1809 (OS Build 17763.720),16 x 16 GB,"16 x 16GB 2Rx8 PC4-2933Y ECC RDIMM; slots DIMM_A2, DIMMM_B2, DIMMM_C2, DIMMM_D2, DIMMM_E2, DIMMM_F2, DIMMM_G2, DIMMM_H2, slots DIMM_I2, DIMMM_J2, DIMMM_K2, DIMMM_L2, DIMMM_M2, DIMMM_N2, DIMMM_O2, DIMMM_P2",Line-powered,1 x 960GB Intel DC S4510 SATA 2.5 SSD P/N: 03B01-00160800,Integrated SATA controller,Enabled(See SUT Notes),ACBEL R1CA2801A REV:C P/N: 0A100-00081500,1,800,Feb-2020,2020,Aug-2019,ASUSTeK Computer Inc.,Apr-2020,"<A HREF=""/power_ssj2008/results/res2020q2/power_ssj2008-20200313-01020.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2020q2/power_ssj2008-20200313-01020.txt"">Text</A>"
power_ssj2008,1.2,ASUSTeK Computer Inc.,RS720-E10-R12,1,2U,13600,8.96E+06,8.06E+06,7.17E+06,6.26E+06,5.38E+06,4.49E+06,3.59E+06,2.69E+06,1.80E+06,899136,623,514,443,386,342,303,269,244,212,181,110,14393,15685,16188,16243,15720,14838,13337,11034,8494,4964,80,2,40,2,Intel Xeon Platinum 8380,2300,"40-Core, 2.3GHz, Intel Turbo Boost Technology up to 3.4GHz, 60MB L3 Cache","1,2 chips",32 KB I + 48 KB D on chip per core,1280 KB I+D on chip per core,60 MB I+D on chip per chip,None,256,Microsoft Windows Server 2019 Datacenter,Version 1809 (OS Build 17763.1397),16 x 16 GB,"16 x 16GB 2Rx8 PC4-3200AA-R ECC RDIMM; slots DIMM_A1, DIMM_B1, DIMM_C1, DIMM_D1, DIMM_E1, DIMM_F1, DIMM_G1, DIMM_H1, DIMM_J1, DIMM_K1, DIMM_L1, DIMM_M1, DIMM_N1, DIMM_P1, DIMM_R1, DIMM_T1 populated",Line-powered,1 x 240GB Seagate Nytro 510DCT M.2 PCIE SSD P/N: 03B03-00130200,Integrated PCIE controller,Enabled (See SUT Notes),CHICONY R18-1K6P1WA REV:01 P/N: 0A100-00250800,1,1600,Aug-2021,2021,Mar-2021,ASUSTeK Computer Inc.,Jan-2022,"<A HREF=""/power_ssj2008/results/res2022q1/power_ssj2008-20211214-01145.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2022q1/power_ssj2008-20211214-01145.txt"">Text</A>"
power_ssj2008,1.2,ASUSTeK Computer Inc.,RS720-E9-RS8,1,2U,14274,5.85E+06,5.28E+06,4.69E+06,4.11E+06,3.52E+06,2.94E+06,2.35E+06,1.76E+06,1.17E+06,587425,405,328,283,248,213,187,165,147,127,107,47.4,14434,16084,16548,16529,16468,15723,14240,11977,9232,5481,56,2,28,2,Intel Xeon Platinum 8280L,2700,"28-Core, 2.7GHz, 38.5MB L3 Cache","1,2 chips",32 KB I + 32 KB D on chip per core,1 MB I+D on chip per core,39424 KB I+D on chip per chip,None,192,Microsoft Windows Server 2012 R2 Datacenter,Version 6.3 (Build 9600),12 x 16 GB,"12 x 16GB 2Rx8 PC4-2933Y ECC RDIMM; slots DIMM_A1, DIMMM_B1, DIMMM_C1, DIMMM_D1, DIMMM_E1, DIMMM_F1, DIMMM_G1, DIMMM_H1, DIMMM_J1, DIMMM_K1, DIMMM_L1, DIMMM_M1",Line-powered,1 x 960GB Intel DC S3520 SATA 2.5 SSD P/N: 03B01-00160400,Integrated SATA controller,Enabled,Delta DPS-850AB-3 Rev.C,1,850,Apr-2019,2019,Aug-2018,ASUSTeK Computer Inc.,Jul-2019,"<A HREF=""/power_ssj2008/results/res2019q3/power_ssj2008-20190520-00966.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2019q3/power_ssj2008-20190520-00966.txt"">Text</A>"
power_ssj2008,1.2,ASUSTeK Computer Inc.,RS720-E9-RS8,1,2U,14066,5.86E+06,5.26E+06,4.69E+06,4.11E+06,3.51E+06,2.93E+06,2.35E+06,1.76E+06,1.17E+06,589346,412,330,285,249,214,188,165,149,129,109,62.4,14242,15934,16435,16466,16440,15622,14194,11831,9125,5428,56,2,28,2,Intel Xeon Platinum 8280L,2700,"28-Core, 2.7GHz, 38.5MB L3 Cache","1,2 chips",32 KB I + 32 KB D on chip per core,1 MB I+D on chip per core,39424 KB I+D on chip per chip,None,192,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,12 x 16 GB,"12 x 16GB 2Rx8 PC4-2933Y ECC RDIMM; slots DIMM_A1, DIMMM_B1, DIMMM_C1, DIMMM_D1, DIMMM_E1, DIMMM_F1, DIMMM_G1, DIMMM_H1, DIMMM_J1, DIMMM_K1, DIMMM_L1, DIMMM_M1",Line-powered,1 x 960GB Intel DC S3520 SATA 2.5 SSD P/N: 03B01-00160400,Integrated SATA controller,Enabled,Delta DPS-850AB-3 Rev.C,1,850,Apr-2019,2019,Dec-2018,ASUSTeK Computer Inc.,Jul-2019,"<A HREF=""/power_ssj2008/results/res2019q3/power_ssj2008-20190618-00975.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2019q3/power_ssj2008-20190618-00975.txt"">Text</A>"
power_ssj2008,1.2,ASUSTeK Computer Inc.,RS720-E9/RS8,1,2U,12727,5.39E+06,4.94E+06,4.39E+06,3.84E+06,3.29E+06,2.74E+06,2.20E+06,1.64E+06,1.10E+06,547494,385,347,306,269,235,205,179,154,129,106,48.2,13982,14234,14341,14304,14002,13366,12295,10695,8483,5157,56,2,28,2,Intel Xeon Platinum 8180,2500,"28-Core, 2.5 GHz, 38.5MB L3 Cache(Intel Turbo Boost Technology up to 2.8GHz)","1,2 chips",32 KB I + 32 KB D on chip per core,1 MB I+D on chip per core,39424 KB I+D on chip per chip,None,192,Microsoft Windows Server 2012 R2 Datacenter,Version 6.3 (Build 9600),12 x 16 GB,"12 x 16GB 2Rx8 PC4-2666V ECC RDIMM;slots DIMM_A1,DIMMM_B1,DIMMM_C1,DIMMM_D1,DIMMM_E1,DIMMM_F1,DIMMM_G1,DIMMM_H1,DIMMM_J1,DIMMM_K1,DIMMM_L1,DIMMM_M1",Line-powered,1 x 480GB Intel 535 SATA 2.5 SSD,Integrated SATA controller,Enabled,Delta DPS-850AB-3 Rev.C,1,850,Sep-2018,2018,Mar-2018,ASUSTeK Computer Inc.,Dec-2018,"<A HREF=""/power_ssj2008/results/res2018q4/power_ssj2008-20181009-00863.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2018q4/power_ssj2008-20181009-00863.txt"">Text</A>"
power_ssj2008,1.2,ASUSTeK Computer Inc.,RS720A-E12-RS12,1,2U,36210,2.85E+07,2.58E+07,2.30E+07,2.01E+07,1.72E+07,1.43E+07,1.15E+07,8.60E+06,5.74E+06,2.87E+06,685,591,519,461,412,382,353,319,278,231,117,41556,43653,44204,43547,41721,37470,32465,26930,20604,12433,256,2,128,2,AMD EPYC 9754,2250,"128-Core, 2.25GHz, AMD Core Performance Boost up to 3.10GHz, 256MB L3 Cache","1,2 chips",32 KB I + 32 KB D on chip per core,1 MB I+D on chip per core,"256 MB I+D on chip per chip, 32 MB shared / 8 cores",None,384,Microsoft Windows Server 2022 Datacenter,Version 21H2 (OS Build 20348.2113),24 x 16 GB,24 x 16GB 1Rx8 PC5-4800B-R ECC RDIMM; all DIMM slots populated,Line-powered,1 x 512GB Samsung P4X4 M.2 PCIE SSD P/N: 03B03-00379600,Integrated PCIe controller,Enabled (See SUT Notes),GOSPOWER G1358-1600WNB REV:0.1 P/N: 0A100-00251400,1,1600,Jun-2023,2023,Nov-2023,ASUSTeK Computer Inc.,Jan-2024,"<A HREF=""/power_ssj2008/results/res2024q1/power_ssj2008-20231205-01347.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2024q1/power_ssj2008-20231205-01347.txt"">Text</A>"
